,city,city_id,lat,max_temp,cloudiness,country,date,humidity,long,wind_speed
281,aripuana,3665202,-9.17,73.33,91,BR,1607227969,97,-60.63,2.57
282,te anau,2181625,-45.42,55.33,98,NZ,1607227969,64,167.72,7.49
283,necochea,3430443,-38.55,53.01,0,AR,1607227895,78,-58.74,15.26
284,kodiak,5866583,57.79,35.6,90,US,1607227875,64,-152.41,17.22
285,harper,2276492,4.38,77.49,15,LR,1607227970,85,-7.72,4.99
286,katsuura,2112309,35.13,57.0,75,JP,1607227971,62,140.3,5.82
287,saint george,5546220,37.1,43.0,1,US,1607227971,18,-113.58,1.7
288,karaton,1630058,-6.34,82.99,40,ID,1607227971,88,106.1,5.82
289,narsaq,3421719,60.92,26.6,100,GL,1607227971,86,-46.05,5.19
290,gat,293842,31.61,55.99,0,IL,1607227971,100,34.76,7.58
291,faya,110690,18.39,51.8,48,SA,1607227972,93,42.45,3.13
292,hofn,2630299,64.25,28.74,0,IS,1607227972,87,-15.21,9.28
293,ondjiva,3346821,-17.07,65.8,8,AO,1607227972,34,15.73,4.45
294,bronnoysund,3159954,65.46,37.0,99,NO,1607227972,80,12.2,9.17
295,santa barbara,5392967,34.73,51.8,1,US,1607227928,62,-120.03,4.0
296,dali,1814093,25.7,55.54,9,CN,1607227973,51,100.18,4.9
297,qasigiannguit,3420768,68.82,28.4,100,GL,1607227973,86,-51.19,4.7
298,cabedelo,3404558,-6.98,78.8,20,BR,1607227973,83,-34.83,8.05
299,temba,989747,-25.38,57.99,11,ZA,1607227973,93,28.26,8.05
300,kruisfontein,986717,-34.0,66.0,96,ZA,1607227974,94,24.73,1.99
301,chokurdakh,2126123,70.63,-30.75,6,RU,1607227974,81,147.92,5.64
302,takanosu,2127910,40.22,35.6,75,JP,1607227974,100,140.37,0.31
303,hay river,5972762,60.82,32.0,100,CA,1607227974,89,-115.8,6.93
304,bharatpur,1276128,27.22,72.05,0,IN,1607227974,34,77.48,4.65
305,cururupu,3401148,-1.83,77.11,100,BR,1607227975,85,-44.87,3.53
306,dubbo,2168305,-32.25,78.8,0,AU,1607227975,31,148.62,16.11
307,tubigan,1681217,8.53,82.0,95,PH,1607227975,86,124.31,8.99
308,saint-georges,3579925,12.06,80.6,20,GD,1607227751,83,-61.75,11.41
309,carbonear,5916722,47.73,46.99,75,CA,1607227976,100,-53.21,13.87
310,ngunguru,2186111,-35.62,73.99,96,NZ,1607227687,48,174.5,5.01
311,olafsvik,3414079,64.89,30.65,100,IS,1607227976,97,-23.71,7.58
312,dingle,1714733,11.0,84.42,91,PH,1607227976,79,122.67,9.1
313,maragogi,3395458,-9.01,75.87,17,BR,1607227976,81,-35.22,8.93
314,shelburne,6145890,44.08,25.0,95,CA,1607227977,91,-80.2,10.45
315,kulachi,1172779,31.93,67.82,0,PK,1607227977,29,70.46,7.29
316,tevaitoa,4033375,-16.78,80.65,100,PF,1607227978,78,-151.5,16.75
317,jijiga,333795,9.35,64.27,0,ET,1607227978,55,42.8,2.04
318,bjornevatn,780643,69.67,28.4,54,NO,1607227978,74,29.98,34.45
319,aracati,3407378,-4.56,78.44,73,BR,1607227978,77,-37.77,10.76
320,chaiya,1153783,9.39,84.2,20,TH,1607227978,70,99.2,10.29
321,los llanos de aridane,2514651,28.66,62.6,75,ES,1607228069,77,-17.92,13.87
322,korla,1529376,41.76,30.0,83,CN,1607228069,81,86.15,2.19
323,savannah bight,3601402,16.45,78.01,100,HN,1607228069,94,-85.85,8.52
324,esmeraldas,3464008,-19.76,73.4,0,BR,1607228069,83,-44.31,8.05
325,talnakh,1490256,69.49,8.6,75,RU,1607228023,92,88.4,8.95
326,nevsehir,303830,38.92,24.8,0,TR,1607228070,92,34.67,4.7
327,tocache,3691324,-8.18,69.48,99,PE,1607228070,89,-76.51,0.45
328,bereda,3105522,43.27,37.99,84,ES,1607228070,100,-7.54,5.01
329,port lincoln,2063036,-34.73,64.18,78,AU,1607228071,52,135.87,24.27
330,pevek,2122090,69.7,9.3,100,RU,1607228071,92,170.31,7.02
331,rio gallegos,3838859,-51.62,59.0,0,AR,1607228071,58,-69.22,10.29
332,timra,2669047,62.49,37.4,100,SE,1607228071,93,17.33,5.82
333,ahipara,2194098,-35.17,67.24,65,NZ,1607228072,64,173.17,8.28
334,hambantota,1244926,6.12,82.4,40,LK,1607228072,88,81.12,4.7
335,san matias,3444105,-16.37,70.77,94,BO,1607228072,87,-58.4,5.41
336,gurupi,3461724,-11.73,73.54,80,BR,1607228073,91,-49.07,0.58
337,acarau,3408368,-2.89,79.39,100,BR,1607228073,81,-40.12,15.46
338,buala,2109528,-8.14,83.17,86,SB,1607228073,78,159.59,2.62
339,tommot,2015179,58.96,6.89,100,RU,1607228073,91,126.29,12.26
340,ryotsu,1853371,38.08,53.6,75,JP,1607228032,66,138.43,9.17
341,paragominas,3393106,-2.97,72.3,96,BR,1607227804,97,-47.48,3.02
342,aksarka,1512019,66.56,14.29,100,RU,1607228074,96,67.8,13.85
343,kaitangata,2208248,-46.28,57.0,100,NZ,1607228006,78,169.85,11.01
344,novyy urengoy,1496511,66.08,5.86,72,RU,1607228075,94,76.63,10.25
345,tiarei,4033356,-17.53,84.2,40,PF,1607228075,70,-149.33,11.41
346,floresta,3399518,-8.6,76.66,15,BR,1607228075,65,-38.57,12.62
347,northam,2641434,51.03,45.0,5,GB,1607228075,87,-4.22,5.01
348,hervey bay,2146219,-25.3,87.8,85,AU,1607228075,52,152.85,23.04
349,marsala,2524245,37.8,57.99,40,IT,1607228003,87,12.44,23.04
350,prieska,964090,-29.66,76.59,21,ZA,1607228076,34,22.75,15.97
351,sorland,3137469,67.67,38.25,44,NO,1607228076,74,12.69,21.59
352,bonfim,3405215,3.08,79.0,92,BR,1607228076,72,-59.95,9.08
353,mildura,2157698,-34.2,72.0,75,AU,1607228076,30,142.15,13.87
354,zemaiciu naumiestis,592828,55.36,41.97,100,LT,1607228077,86,21.7,16.75
355,mitsamiouli,921786,-11.38,81.73,29,KM,1607228077,69,43.28,4.81
356,marigot,3578851,18.07,78.8,40,MF,1607228077,78,-63.08,4.7
357,stephenville,4734350,32.22,50.0,75,US,1607228077,53,-98.2,3.36
358,mehamn,778707,71.04,34.83,91,NO,1607228078,83,27.85,38.41
359,saldanha,3361934,-33.01,55.4,66,ZA,1607228078,93,17.94,8.05
360,russell,4047434,32.35,44.6,1,US,1607228078,93,-85.2,3.91
361,montes altos,3394539,-5.83,74.41,5,BR,1607228078,84,-47.07,4.94
362,rudbar,1128239,30.15,50.52,39,AF,1607228078,48,62.6,3.31
363,nemuro,2128975,43.32,41.0,20,JP,1607228079,52,145.57,5.82
364,maua,3457381,-23.67,66.2,90,BR,1607228079,88,-46.46,11.41
365,luanda,2240449,-8.84,77.0,75,AO,1607228169,88,13.23,3.36
366,bambous virieux,1106677,-20.34,81.0,40,MU,1607227997,69,57.76,6.93
367,benguela,3351663,-12.58,74.89,100,AO,1607228170,77,13.41,3.78
368,gatesville,4693150,31.44,50.0,90,US,1607228170,70,-97.74,4.65
369,general roca,3855065,-39.03,78.8,0,AR,1607228170,27,-67.58,12.75
370,klaksvik,2618795,62.23,35.6,100,FO,1607228042,73,-6.59,5.82
371,zhaoqing,1784853,23.05,64.99,0,CN,1607228171,99,112.46,2.48
372,helena,5656882,46.59,23.0,1,US,1607227970,73,-112.04,3.36
373,pathalgaon,1260141,22.57,73.24,0,IN,1607228171,33,83.47,2.77
374,college,5859699,64.86,-2.2,90,US,1607228171,77,-147.8,2.44
375,masyaf,167046,35.07,51.8,0,SY,1607228172,76,36.34,3.36
376,olinda,3393536,-8.01,78.8,40,BR,1607228172,69,-34.86,9.17
377,ibb,74477,13.97,61.23,0,YE,1607228172,75,44.18,1.28
378,chapeltown,2653353,53.47,39.0,100,GB,1607228172,93,-1.47,3.2
379,amahai,1651591,-3.33,87.91,95,ID,1607228172,61,128.92,6.67
380,suluq,81604,31.67,59.41,0,LY,1607228173,49,20.25,23.2
381,srednekolymsk,2121025,67.45,-25.53,66,RU,1607228005,86,153.68,3.27
382,zheshart,463144,62.07,21.74,99,RU,1607228173,97,49.57,8.52
383,bull savanna,3491161,17.89,73.42,44,JM,1607228050,86,-77.59,4.07
384,cotonou,2394819,6.37,79.52,85,BJ,1607228174,85,2.42,7.63
385,totskoye,481955,52.52,3.79,0,RU,1607228174,91,52.76,2.89
386,sokoni,149812,-6.43,75.2,20,TZ,1607228174,94,39.55,3.22
387,atasu,1526041,48.68,-7.35,5,KZ,1607228174,88,71.64,4.45
388,zhangye,1785036,38.93,24.49,73,CN,1607228175,86,100.45,0.02
389,mecca,104515,21.43,69.37,0,SA,1607228175,54,39.83,6.67
390,elizabeth city,4465088,36.29,44.6,75,US,1607228175,75,-76.25,9.17
391,wilmington,4499379,34.23,46.4,1,US,1607228048,75,-77.94,4.7
392,alhaurin el grande,2521985,36.64,48.99,20,ES,1607228176,70,-4.69,8.05
393,tarakan,1624725,3.3,80.82,96,ID,1607228176,76,117.63,8.14
394,deputatskiy,2028164,69.3,-20.63,93,RU,1607228176,87,139.9,2.17
395,kirakira,2178753,-10.45,80.47,86,SB,1607228043,82,161.92,5.44
396,lesnoy,6853140,57.62,10.63,10,RU,1607228177,90,63.08,7.14
397,horizontina,3461659,-27.63,60.01,17,BR,1607228177,82,-54.31,1.01
398,ust-ilimsk,2013952,58.0,7.07,100,RU,1607228177,91,102.66,11.39
399,teguldet,1489822,57.31,5.74,100,RU,1607228177,93,88.17,8.21
400,pallipattu,1260683,13.34,77.0,75,IN,1607228177,94,79.44,4.7
401,belyy yar,1510377,53.6,-2.2,20,RU,1607227987,84,91.39,2.1
402,buraydah,107304,26.33,55.4,0,SA,1607228178,87,43.98,5.82
403,shetpe,608324,44.17,17.06,0,KZ,1607228178,88,52.12,6.55
404,pochutla,3517970,15.74,73.53,74,MX,1607228179,83,-96.47,1.57
405,hanstholm,2620786,57.12,37.0,100,DK,1607228179,91,8.62,3.0
406,buritica,3792374,6.72,61.43,100,CO,1607228179,88,-75.91,0.98
407,krosno odrzanskie,3094633,52.05,42.01,59,PL,1607228179,90,15.1,3.0
408,cozumel,3530103,20.51,77.0,40,MX,1607228180,94,-86.95,6.93
409,sobolevo,525426,54.43,22.62,0,RU,1607228180,86,31.9,12.37
410,labuhan,8079926,-6.88,85.91,67,ID,1607228270,71,112.21,16.98
411,mandalgovi,2030065,45.76,2.05,2,MN,1607228270,85,106.27,18.28
412,argelia,3689615,2.26,65.77,100,CO,1607228271,78,-77.25,1.72
413,palu,1633034,-0.89,93.81,98,ID,1607228132,43,119.87,4.07
414,slave lake,6149374,55.28,32.0,75,CA,1607228103,89,-114.77,8.05
415,bafq,142255,31.61,49.91,100,IR,1607228271,76,55.41,2.46
416,nyurba,2018735,63.28,12.06,100,RU,1607228271,95,118.33,13.31
417,teahupoo,4033543,-17.83,84.2,40,PF,1607228272,70,-149.27,11.41
418,kenai,5866063,60.55,-0.4,1,US,1607228272,84,-151.26,5.82
419,japura,1642773,-0.32,85.33,100,ID,1607228272,67,102.35,4.34
420,roma,5134295,43.21,32.0,90,US,1607228037,94,-75.46,14.99
421,biak,1637001,-0.91,86.05,99,ID,1607228272,62,122.88,1.07
422,port macquarie,2152659,-31.43,82.4,100,AU,1607228183,61,152.92,12.75
423,el doncello,3684276,1.68,71.85,100,CO,1607228273,91,-75.28,2.13
424,rawson,3839307,-43.3,65.19,11,AR,1607228273,43,-65.1,11.36
425,sangar,2017215,63.92,-14.82,100,RU,1607228273,87,127.47,13.27
426,neuquen,3843123,-38.95,78.8,0,AR,1607228274,27,-68.06,12.75
427,misratah,2214846,32.38,65.3,0,LY,1607228275,54,15.09,10.71
428,la rochelle,3006787,46.17,48.0,40,FR,1607228275,87,-1.15,18.34
429,traiguen,3869381,-38.25,48.45,76,CL,1607228275,84,-72.68,4.07
430,castanos,4015022,26.78,46.11,0,MX,1607228275,56,-101.42,4.12
431,cap malheureux,934649,-19.98,82.0,34,MU,1607228275,68,57.61,7.0
432,bathsheba,3374083,13.22,78.8,20,BB,1607228276,78,-59.52,10.29
433,kabalo,215668,-6.05,65.52,64,CD,1607228276,94,26.92,1.39
434,saint-augustin,6137462,51.23,31.62,100,CA,1607228041,94,-58.65,5.01
435,akureyri,2633274,65.68,14.0,0,IS,1607228276,72,-18.09,5.82
436,richards bay,962367,-28.78,71.83,0,ZA,1607228277,75,32.04,16.15
437,nelson bay,2155562,-32.72,90.0,3,AU,1607228277,27,152.15,27.51
438,san cristobal,3628473,7.77,64.81,66,VE,1607228277,85,-72.22,1.3
439,santa maria,3450083,-29.68,62.6,40,BR,1607228278,77,-53.81,11.41
440,tadine,2138285,-21.55,80.01,17,NC,1607228278,74,167.88,15.82
441,okha,2122614,53.57,13.69,38,RU,1607228278,92,142.95,15.43
442,gombong,1643920,-7.61,68.0,25,ID,1607227982,57,109.51,8.5
443,rio grande,3451138,-32.03,62.4,95,BR,1607228278,60,-52.1,6.93
444,peruibe,3454061,-24.32,70.29,100,BR,1607228279,91,-47.0,10.2
445,kibakwe,158024,-6.72,65.5,0,TZ,1607228279,77,36.37,2.39
446,kaoma,913323,-14.78,66.24,100,ZM,1607228279,94,24.8,5.1
447,derzhavinsk,1524606,51.1,-5.64,26,KZ,1607228279,90,66.32,8.46
448,ambulu,1621313,-8.35,83.88,94,ID,1607228279,68,113.61,2.48
449,sterling,4787534,39.01,41.0,90,US,1607228280,60,-77.43,13.87
450,itacoatiara,3397893,-3.14,77.63,78,BR,1607228280,76,-58.44,0.65
451,hovd,1516048,48.01,7.5,0,MN,1607228244,71,91.64,1.48
452,bonavista,5905393,48.65,46.0,100,CA,1607228281,100,-53.11,2.24
453,vao,2137773,-22.67,75.81,1,NC,1607228281,83,167.48,17.31
454,qostanay,1519928,53.17,3.2,90,KZ,1607228281,84,63.58,3.33
455,mareeba,2158767,-17.0,93.0,3,AU,1607228281,52,145.43,10.29
456,kodinsk,1503037,58.69,5.92,100,RU,1607228281,91,99.18,9.57
457,mormugao,1263494,15.4,78.8,20,IN,1607228372,57,73.8,6.93
458,liaozhong,2036106,41.51,32.0,100,CN,1607228372,79,122.72,4.47
459,kununurra,2068110,-15.77,89.6,100,AU,1607228372,66,128.73,5.82
460,oktyabrskoye,515805,43.06,32.58,100,RU,1607228373,95,44.74,5.28
461,bilibino,2126682,68.05,2.86,100,RU,1607228373,91,166.44,1.52
462,evensk,2125693,61.95,6.8,100,RU,1607228373,88,159.23,9.4
463,tuchola,3083043,53.59,44.01,77,PL,1607228373,92,17.86,21.0
464,puerto escondido,3520994,15.85,78.17,63,MX,1607228374,75,-97.07,3.09
465,okhansk,516073,57.72,10.4,0,RU,1607228374,78,55.39,11.18
466,menongue,3347353,-14.66,62.24,100,AO,1607228374,61,17.69,5.57
467,zyryanka,2119283,65.75,-27.08,3,RU,1607228374,84,150.85,1.36
468,udachnyy,2014624,66.42,12.2,90,RU,1607228374,92,112.4,15.66
469,awbari,2219235,26.59,60.44,10,LY,1607228375,28,12.78,10.04
470,taltal,3870243,-25.4,59.83,20,CL,1607228375,74,-70.48,1.23
471,marienburg,3092472,54.04,41.0,100,PL,1607228375,100,19.03,17.0
472,elko,5703673,41.0,30.0,1,US,1607228375,38,-115.5,5.82
473,banda aceh,1215502,5.56,75.27,100,ID,1607228376,92,95.32,5.1
474,kloulklubed,7671223,7.04,86.0,75,PW,1607228376,74,134.26,9.17
475,pontes e lacerda,3453060,-15.23,71.06,98,BR,1607228376,95,-59.34,2.06
476,taoudenni,2450173,22.68,65.26,88,ML,1607228376,40,-3.98,9.19
477,bantou,1796663,26.22,68.77,0,CN,1607228376,44,117.49,3.49
478,naryan-mar,523392,67.67,29.46,100,RU,1607228377,98,53.09,22.15
479,mayo,4362001,38.89,44.01,90,US,1607228377,48,-76.51,13.87
480,maceio,3395981,-9.67,73.4,0,BR,1607228377,94,-35.74,2.24
481,bullhead city,5287565,35.15,57.2,1,US,1607228377,67,-114.57,7.07
482,pacific grove,5380437,36.62,48.2,1,US,1607228378,87,-121.92,3.36
483,sur,286245,22.57,79.3,0,OM,1607228378,50,59.53,5.37
484,bay roberts,5895424,47.6,46.4,75,CA,1607228378,87,-53.26,10.29
485,tarrega,3108285,41.65,39.99,72,ES,1607228378,88,1.14,1.01
486,haines junction,5969025,60.75,12.2,100,CA,1607228378,85,-137.51,4.7
487,moundou,2427455,8.57,69.31,100,TD,1607228379,31,16.08,3.53
488,greenfield,5255068,42.96,34.0,90,US,1607228362,69,-88.01,3.11
489,kara-tyube,797725,44.63,27.81,48,RU,1607228379,93,45.44,15.32
490,baruun-urt,2032614,46.68,4.62,4,MN,1607228379,84,113.28,9.26
491,kutum,371745,14.2,58.32,41,SD,1607228379,31,24.67,6.96
492,erzincan,315372,39.75,17.6,0,TR,1607228369,92,39.5,2.24
493,peleduy,2018069,59.63,7.97,100,RU,1607228380,92,112.74,16.8
494,berdigestyakh,2026861,62.1,-2.16,98,RU,1607228380,91,126.7,6.98
495,tabas,113659,33.6,46.4,100,IR,1607228380,52,56.92,2.24
496,uravakonda,1253698,14.95,75.43,10,IN,1607228381,51,77.27,15.1
497,souillac,933995,-20.52,80.6,40,MU,1607228381,69,57.52,6.93
498,manokwari,1636308,-0.87,85.53,100,ID,1607228381,72,134.08,10.0
499,erzin,296852,36.96,41.0,0,TR,1607228381,100,36.2,3.36
500,hami,1529484,42.8,27.3,86,CN,1607228381,76,93.45,1.86
501,gebre guracha,337152,9.8,52.14,1,ET,1607228382,70,38.4,2.86
502,santiago de cao,3692073,-7.96,65.55,88,PE,1607228382,88,-79.24,11.23
503,petropavlovsk-kamchatskiy,2122104,53.05,23.0,75,RU,1607228382,85,158.65,8.95
504,de-kastri,2126018,51.47,18.88,26,RU,1607228382,78,140.78,8.01
505,tateyama,1850523,34.98,57.99,20,JP,1607228382,62,139.87,11.41
506,san javier,2511366,37.81,46.4,0,ES,1607228473,61,-0.84,6.93
507,ust-omchug,2120047,61.15,-5.94,99,RU,1607228473,88,149.63,2.86
508,viedma,3832899,-40.81,64.99,0,AR,1607228473,37,-63.0,17.25
509,porbandar,1259395,21.64,69.8,0,IN,1607228474,94,69.61,3.36
510,hobyo,57000,5.35,79.38,1,SO,1607228474,72,48.53,9.71
511,sioux lookout,6148373,50.1,19.4,90,CA,1607228474,100,-91.92,2.24
512,jian,1806445,27.12,56.16,0,CN,1607228474,52,114.98,5.32
513,phan thiet,1571058,10.93,81.28,31,VN,1607228474,68,108.1,5.46
514,quatre cocos,1106643,-20.21,82.0,40,MU,1607228475,69,57.76,6.93
515,huilong,1806840,31.81,62.01,1,CN,1607228475,67,121.66,3.0
516,gravdal,3155152,68.12,36.75,48,NO,1607228475,78,13.5,16.96
517,meybod,124193,32.25,44.6,90,IR,1607228475,87,54.02,7.16
518,meadow lake,5478673,34.8,37.0,1,US,1607228476,34,-106.54,4.7
519,sao pedro da aldeia,3448351,-22.84,73.89,97,BR,1607228476,93,-42.1,9.46
520,karratha,6620339,-20.74,93.47,15,AU,1607228476,43,116.85,11.88
521,inhambane,1045114,-23.86,73.4,75,MZ,1607228476,88,35.38,4.07
522,praya,3374333,14.92,73.4,20,CV,1607228476,73,-23.51,12.75
523,wonthaggi,2154826,-38.6,63.0,94,AU,1607228477,77,145.59,23.8
524,roald,3141667,62.58,37.0,98,NO,1607228477,76,6.13,4.0
525,oksfjord,778362,70.24,33.8,99,NO,1607228477,74,22.35,12.75
526,rangapara,1258501,26.82,69.96,62,IN,1607228477,57,92.65,4.54
527,xapuri,3924674,-10.65,73.42,98,BR,1607228297,95,-68.5,2.73
528,nioro,2412408,13.35,69.04,63,GM,1607228478,54,-15.75,6.85
529,francavilla al mare,3176605,42.42,55.4,100,IT,1607228478,82,14.29,6.93
530,erenhot,2037485,43.65,3.58,10,CN,1607228478,90,111.98,11.68
531,oktyabrskiy,515879,54.48,3.97,0,RU,1607228478,85,53.47,0.98
532,atoyac,4017987,20.02,60.8,20,MX,1607228479,72,-103.53,2.66
533,esna,355449,25.29,53.6,0,EG,1607228479,66,32.55,4.29
534,tessalit,2449893,20.2,63.64,0,ML,1607228480,42,1.01,5.82
535,bossier city,4317639,32.52,48.2,1,US,1607228480,70,-93.73,3.36
536,vestmanna,2610343,62.16,35.6,100,FO,1607228480,79,-7.17,8.05
537,port blair,1259385,11.67,82.83,0,IN,1607228480,67,92.75,14.76
538,akyab,1295765,20.15,77.02,0,MM,1607228481,46,92.9,2.37
539,flin flon,5954718,54.77,26.4,79,CA,1607228481,97,-101.86,3.8
540,mogadishu,53654,2.04,79.3,6,SO,1607228410,79,45.34,10.07
541,grand gaube,934479,-20.01,82.0,35,MU,1607228481,68,57.66,7.0
542,agapovka,584051,53.3,5.0,90,RU,1607228481,77,59.13,3.8
543,bogovarovo,575480,58.98,14.77,0,RU,1607228482,93,47.02,8.55
544,neya,522353,58.3,16.99,1,RU,1607228482,90,43.87,8.16
545,kibala,2425791,9.11,66.2,0,TD,1607228482,88,18.35,1.95
546,penzance,2640377,50.12,39.2,0,GB,1607228482,93,-5.54,6.93
547,rock sound,3571592,24.9,75.56,0,BS,1607228482,66,-76.2,3.04
548,goderich,5962442,43.75,28.4,97,CA,1607228483,86,-81.72,6.93
549,santa rosalia,3983805,27.32,56.62,0,MX,1607228483,45,-112.28,7.74
550,tiksi,2015306,71.69,-11.79,63,RU,1607228483,88,128.87,5.7
551,sassandra,2281951,4.95,76.42,27,CI,1607228483,90,-6.08,5.64
552,tallahassee,4174715,30.44,48.99,20,US,1607228479,87,-84.28,4.34
553,zurrieq,2562250,35.83,66.99,20,MT,1607228484,88,14.47,20.8
554,muros,3115824,42.78,39.2,40,ES,1607228574,93,-9.06,3.36
555,mount gambier,2156643,-37.83,59.0,75,AU,1607228575,72,140.77,21.92
556,kuvandyk,538138,51.48,2.64,0,RU,1607228575,91,57.36,3.11
557,acajutla,3587498,13.59,78.57,100,SV,1607228285,78,-89.83,6.62
558,ruteng,1629380,-8.61,68.5,100,ID,1607228576,100,120.47,2.26
559,carahue,3896774,-38.7,51.8,90,CL,1607228576,100,-73.17,6.93
560,altamira,3407882,-3.2,73.58,11,BR,1607228324,95,-52.21,2.98
561,saint-louis,2246451,16.33,75.2,0,SN,1607228576,38,-15.0,2.24
562,xining,1788852,36.62,23.61,100,CN,1607228577,82,101.77,2.44
